team,n,Logo
Coppin State,5,https://a.espncdn.com/i/teamlogos/ncaa/500/2154.png
Howard,5,
Morgan St.,5,
Temple,5,
Loyola-Maryland,4,
Maryland-Eastern Shore,4,
Towson,4,
Maryland,3,
Princeton,3,
Texas Southern,3,
Wagner,3,
Arkansas,2,
Binghamton,2,
Boston College,2,
Colgate,2,
Drexel,2,
East Carolina,2,
Elon,2,
George Mason,2,
George Washington,2,
James Madison,2,
Kentucky,2,
Mount St. Mary's,2,
North Florida,2,
Northwestern,2,
Sacred Heart,2,
Stony Brook,2,
Utah St.,2,
Virginia,2,
Albany,1,
Bethune-Cookman,1,
Brigham Young,1,
Central Florida,1,
Clemson,1,
Cleveland State,1,
Columbia,1,
Delaware State,1,
Fordham,1,
Georgetown,1,
Georgia,1,
Georgia State,1,
Grambling,1,
Hartford,1,
Holy Cross,1,
Illinois,1,
Jackson St.,1,
Kansas City,1,
Lafayette,1,
LaSalle,1,
Longwood,1,
Louisville,1,
LSU,1,
Maine,1,
McNeese State,1,
Michigan State,1,
Mississippi,1,
Monmouth,1,
Navy,1,
NC State,1,
Niagara,1,
North Carolina,1,
North Carolina Central,1,
Northeastern,1,
Old Dominion,1,
Penn State,1,
Presbyterian College,1,
Quinnipiac,1,
Radford,1,
Rice,1,
Robert Morris,1,
Saint Francis (PA),1,
St. Bonaventure,1,
St. John's,1,
Stonehill,1,
Tennessee St.,1,
Tennessee Tech,1,
UCLA,1,
UMBC,1,
UNC Asheville,1,
UNCW,1,
Western Ky.,1,
William & Mary,1,